20161101_0116,33,-122,216,-338,l4gsnl/3rg1kb1/2n1pp1p1/p1p1s1p1p/1p1p5/P1PPSP2P/1PB1P1PP1/L2RG1SK1/1N3G1NL b - 33,l4gsnl/3rg1kb1/2n1pp1p1/p1p1s1p1p/1p1p5/P1PPSP2P/1PB1P1PP1/L2RG1SK1/1N3G1NL b - 33,5f6e,**候補手  候補1 時間 00:00.9 深さ 14/28 ノード数 1016712 評価値 216 読み筋 ▲同　歩(66) △同　桂(73) ▲２二角成(77) △同　銀(31) ▲６五銀(56) △同　飛(62) ▲同　飛(68) △同　銀(54) ▲６一飛打 △６九飛打 ▲７七桂(89) △６六銀(65) ▲５五角打 △１七銀打 ▲同　香(19) △４九飛成(69) ▲２二角成(55)
20161101_0116,41,-44,793,-837,l4gsnl/3rg1k2/2n1pp1p1/p1p3p1p/1p1P5/P1P2P2P/1PNRP1PP1/L1b1G1SK1/2s2G1NL b PSB 41,l4gsnl/3rg1k2/2n1pp1p1/p1p3p1p/1p1P5/P1P2P2P/1PNRP1PP1/L1b1G1SK1/2s2G1NL b PSB 41,6g6f,**候補手  候補1 時間 00:01.0 深さ 13/25 ノード数 1009616 評価値 793 読み筋 ▲５五角打 △６七角成(78) ▲同　金(58) △６五桂(73) ▲６六角打 △４四歩(43) ▲６五桂(77) △同　飛(62) ▲５六桂打 △４二玉(32) ▲９一角成(55) △６九飛打 ▲４四桂(56) △４三金(52)
20161101_0116,47,823,1128,-305,l4gsnl/3r2k2/2ngpp1p1/p1p3p1p/1p7/P1PR1P2P/1+bN1P1PP1/L3G1SK1/2s2G1NL b 2PSBp 47,l4gsnl/3r2k2/2ngpp1p1/p1p3p1p/1p7/P1PR1P2P/1+bN1P1PP1/L3G1SK1/2s2G1NL b 2PSBp 47,P*6d,**候補手  候補1 時間 00:00.8 深さ 12/25 ノード数 1001838 評価値 1128 読み筋 ▲７一銀打 △６一飛(62) ▲６二歩打 △７七馬(87) ▲６三飛成(66) △７一飛(61) ▲６一歩成(62) △５二銀打 ▲同　龍(63) △同　金(41) ▲７一と(61) △６八銀成(79) ▲同　金(58) △同　馬(77) ▲６一飛打
20161101_0116,49,212,888,-676,l4gsnl/3r2k2/2n1pp1p1/p1pg2p1p/1p7/P1PR1P2P/1+bN1P1PP1/L3G1SK1/2s2G1NL b PSB2p 49,l4gsnl/3r2k2/2n1pp1p1/p1pg2p1p/1p7/P1PR1P2P/1+bN1P1PP1/L3G1SK1/2s2G1NL b PSB2p 49,S*5e,**候補手  候補1 時間 00:01.0 深さ 13/28 ノード数 1023894 評価値 888 読み筋 ▲８五桂(77) △同　桂(73) ▲７三角打 △６五歩打 ▲６七飛(66) △７七桂成(85) ▲同　飛(67) △同　馬(87) ▲６二角成(73) △６六桂打 ▲４八金(58) △６八銀成(79) ▲５三馬(62) △７八飛打 ▲６二飛打 △５二歩打 ▲同　馬(53) △同　金(41) ▲同　飛成(62) △４二角打 ▲４一銀打 △２二玉(32) ▲３二金打
20161101_0116,65,1605,2247,-642,l4Bsnl/4+Rs3/5pkp1/p1p3p1p/1p1n5/P1P2P2P/2+b1P1PP1/L2+sG1SK1/5G1NL b 3P2Gpnr 65,l4Bsnl/4+Rs3/5pkp1/p1p3p1p/1p1n5/P1P2P2P/2+b1P1PP1/L2+sG1SK1/5G1NL b 3P2Gpnr 65,G*3b,**候補手  候補1 時間 00:01.1 深さ 10/24 ノード数 1005678 評価値 2247 読み筋 ▲６八金(58) △同　馬(77) ▲２五銀打 △３二桂打 ▲３四銀(25) △同　玉(33) ▲４二龍(52) △同　銀(31) ▲３二角成(41) △３五金打 ▲４二馬(32) △３三銀打 ▲５三馬(42) △５七馬(68) ▲３五馬(53) △同　玉(34)
20161101_0116,73,557,1926,-1369,l4S1nl/4+RsG2/5p1p1/p1p3pkp/1p1n5/P1P2P2P/2+b1P1PP1/L2+sG1SK1/5G1NL b 3Ppngbr 73,l4S1nl/4+RsG2/5p1p1/p1p3pkp/1p1n5/P1P2P2P/2+b1P1PP1/L2+sG1SK1/5G1NL b 3Ppngbr 73,5b4b,**候補手  候補1 時間 00:01.1 深さ 12/23 ノード数 1006652 評価値 1926 読み筋 ▲６八金(58) △１五歩(14) ▲４二龍(52) △１六歩(15) ▲２六銀打 △６八馬(77) ▲３三銀打 △１三玉(24) ▲１六香(19) △１四歩打 ▲２一金(32)
20161101_0116,79,-188,1183,-1371,l4S1nl/5+RG2/5p1p1/p1p3pkp/1p1n5/P1+b2P2P/4P1PP1/L3G1SK1/2r2S1NL b 3PS2pn2gb 79,l4S1nl/5+RG2/5p1p1/p1p3pkp/1p1n5/P1+b2P2P/4P1PP1/L3G1SK1/2r2S1NL b 3PS2pn2gb 79,4b4c,**候補手  候補1 時間 00:01.2 深さ 11/23 ノード数 1018402 評価値 1183 読み筋 ▲３三銀打 △同　桂(21) ▲同　龍(42) △３五玉(24) ▲４七金(58) △４四桂打 ▲４三龍(33) △２五金打 ▲３六桂打 △５五銀打 ▲２三龍(43) △２四歩打 ▲４四桂(36) △４九馬(76) ▲同　銀(38) △同　飛成(79)
20161101_0116,81,-945,31,-976,l4S1nl/6G2/5+R1p1/p1p3pkp/1p1n5/P4P2P/4P1PP1/L3+b1SK1/2r2S1NL b 4PS2pn3gb 81,l4S1nl/6G2/5+R1p1/p1p3pkp/1p1n5/P4P2P/4P1PP1/L3+b1SK1/2r2S1NL b 4PS2pn3gb 81,S*3c,**候補手  候補1 時間 00:01.0 深さ 10/21 ノード数 1007197 評価値 31 読み筋 ▲１八玉(28) △３九角打 ▲２八銀打 △同　角成(39) ▲同　玉(18) △４九馬(58) ▲同　銀(38) △同　飛成(79) ▲４二角打 △３三桂打 ▲同　角成(42) △同　桂(21) ▲同　龍(43) △３五玉(24)
20161101_1813,101,-7658,-6752,-906,ln2lg1nl/5ks2/p2G1pppp/3Np4/4P3P/P2p2+b2/5P1P1/1+r2S1SK1/2s1+p2NL b P4p2gbr 101,ln2lg1nl/5ks2/p2G1pppp/3Np4/4P3P/P2p2+b2/5P1P1/1+r2S1SK1/2s1+p2NL b P4p2gbr 101,5e5d,**候補手  候補1 時間 00:00.9 深さ 11/19 ノード数 1000130 評価値 -6752 読み筋 ▲１四歩(15) △４八金打 ▲３九歩打 △５五歩(54) ▲１三歩成(14) △６三馬(36) ▲２二と(13) △６四馬(63) ▲１一香成(19) △１六飛打 ▲３二と(22) △同　金(41) ▲２六歩(27) △１一飛(16) ▲１八香打 △５六歩(55) ▲２七玉(28) △５四馬(64)
20161101_1813,103,-7484,-6562,-922,ln2lg1nl/4pks2/p2G1pppp/3NP4/8P/P2p2+b2/5P1P1/1+r2S1SK1/2s1+p2NL b 2P3p2gbr 103,ln2lg1nl/4pks2/p2G1pppp/3NP4/8P/P2p2+b2/5P1P1/1+r2S1SK1/2s1+p2NL b 2P3p2gbr 103,P*3g,**候補手  候補1 時間 00:01.0 深さ 11/23 ノード数 1005951 評価値 -6562 読み筋 ▲同　桂成(64) △同　香(51) ▲同　金(63) △同　玉(42) ▲５五香打 △４二金打 ▲５三歩成(54) △同　金(42) ▲５四歩打 △同　金(53) ▲同　香(55) △同　馬(36) ▲５三歩打 △同　玉(52)
